Id,Label,timeset,eigencentrality,modularity_class,Degree
0,"BIERMANN, PL",,0.016739,0,36
1,"STANEV, TKGT",,0.0005,0,1
2,"GOLDMAN, I",,0.001245,0,5
3,"WANDEL, A",,0.006754,0,4
4,"PILDIS, RA",,0.008973,0,16
5,"BREGMAN, JN",,0.007582,0,17
6,"EVRARD, AE",,0.032391,0,47
7,"SWARTZ, DA",,0.004352,0,12
8,"SUTHERLAND, PG",,0.000385,0,2
9,"HARKNESS, RP",,0.000385,0,2
10,"BECKER, W",,0.030912,0,17
11,"BARZIER, KTS",,0.002044,0,3
12,"TRUEMPER, J",,0.051964,0,70
13,"ANGELANTONJ, C",,0.000545,0,3
14,"AMENDOLA, L",,0.002617,0,13
15,"LITTERIO, M",,0.000545,0,3
16,"OCCHIONERO, F",,0.00126,0,7
17,"LOEB, A",,0.012399,0,33
18,"BRAINERD, JJ",,0.057355,0,26
19,"MEEGAN, CA",,0.144988,0,72
20,"BRIGGS, MS",,0.244706,0,111
21,"PENDLETON, GN",,0.09328,0,51
22,"BROCK, MN",,0.007969,0,4
23,"MOHR, JJ",,0.01425,0,24
24,"GELLER, DGFMJ",,0.001216,0,2
25,"FARAONI, V",,0.000875,0,6
26,"COOPERSTOCK, FI",,0.00045,0,3
27,"OVERDUIN, JM",,0.000313,0,2
28,"HELBIG, P",,0.014096,0,23
29,"KAYSER, R",,0.001653,0,5
30,"ANDREANI, P",,0.058388,0,67
31,"CASOLI, F",,0.03347,0,32
32,"GERIN, M",,0.00659,0,15
33,"HELENE, DN",,0.000283,0,2
34,"GEORGES, P",,0.000283,0,2
35,"LYON, OD",,0.000283,0,2
36,"MAARTENS, R",,0.005337,0,32
37,"ELLIS, GFR",,0.001965,0,11
38,"STOEGER, WR",,0.000535,0,2
39,"HERNQUIST, L",,0.031001,0,62
40,"SIGURDSSON, S",,0.019968,0,22
41,"BRYAN, GL",,0.026365,0,38
42,"BAHCALL, JN",,0.028665,0,51
43,"KIRHAKOS, S",,0.017161,0,24
44,"SCHNEIDER, DP",,0.092113,0,105
45,"THORSETT, SE",,0.187915,0,54
46,"YOUNG, K",,0.005805,0,14
47,"OBSERVATORY, CS",,0.000415,0,2
48,"EDU, RC",,0.000415,0,2
49,"TOZZI, GBFGP",,0.000286,0,1
50,"STANGA, RM",,0.007659,0,13
51,"UDALSKI, A",,0.008269,0,15
52,"KUBIAK, M",,0.008607,0,17
53,"SZYMANSKI, M",,0.008607,0,17
54,"KALUZNY, J",,0.016963,0,27
55,"MATEO, M",,0.129713,0,103
56,"KRZEMINSKI, W",,0.007755,0,14
57,"LEONARD, S",,0.000166,0,1
58,"LAKE, K",,0.00089,0,6
59,"BERERA, A",,0.001957,0,7
60,"FANG, L",,0.027993,0,43
61,"DAVIS, M",,0.096876,0,81
62,"NUSSER, A",,0.013496,0,22
63,"BUNKER, AJ",,0.031755,0,32
64,"WARREN, SJ",,0.014045,0,21
65,"HEWETT, PC",,0.024122,0,29
66,"CLEMENTS, DL",,0.080508,0,71
67,"WADA, K",,0.001414,0,7
68,"HABE, A",,0.001022,0,6
69,"SOFUE, Y",,0.004708,0,20
70,"BRANCHINI, E",,0.039529,0,38
71,"PLIONIS, M",,0.018605,0,26
72,"MAHABAL, A",,0.000603,0,4
73,"SINGH, AKKP",,0.000296,0,2
74,"PRABHU, PNBTP",,0.000296,0,2
75,"CHEN, GH",,0.001699,0,2
76,"KOCHANEK, CS",,0.022519,0,31
77,"HEWITT, JN",,0.063917,0,45
78,"DUBINSKI, J",,0.004305,0,10
79,"NARAYAN, R",,0.049648,0,65
80,"PHILLIPS, TG",,0.023748,0,42
81,"PAGE, D",,0.001695,0,7
82,"HU, W",,0.010784,0,22
83,"BUNN, EF",,0.006751,0,12
84,"SUGIYAMA, N",,0.039409,0,52
85,"DUFFY, P",,0.00148,0,7
86,"BALL, L",,0.003746,0,10
87,"KIRK, JG",,0.0029,0,16
88,"PELT, J",,0.001105,0,3
