Source,Target,Type,Id,Weight
6763,93,Undirected,49433,0.060798
6755,93,Undirected,49126,0.060798
6221,93,Undirected,42719,0.534939
6216,93,Undirected,42489,1.62177
6201,93,Undirected,42284,0.190909
5507,93,Undirected,35556,0.047619
5502,93,Undirected,35315,0.084656
5501,93,Undirected,35260,0.047619
5499,93,Undirected,35157,1.24584
4718,93,Undirected,28328,0.090909
4631,93,Undirected,27528,3.85554
3175,93,Undirected,16826,0.095281
3169,93,Undirected,16721,0.060798
3166,93,Undirected,16675,0.060798
3162,93,Undirected,16612,0.060798
1605,93,Undirected,7062,0.87037
1604,93,Undirected,7038,1.70949
747,93,Undirected,2398,1.48129
5784,210,Undirected,38142,0.037465
5782,210,Undirected,38033,0.037465
5777,210,Undirected,37794,0.037465
2908,210,Undirected,14982,0.019608
2191,210,Undirected,10418,1.28739
1796,210,Undirected,8064,0.080943
1231,210,Undirected,5009,0.04
1150,210,Undirected,4500,0.29
435,210,Undirected,943,0.037465
222,210,Undirected,452,2.26115
217,210,Undirected,381,2.3167
7132,217,Undirected,54221,0.022727
6868,217,Undirected,51372,0.022727
6763,217,Undirected,49428,0.214286
6216,217,Undirected,42548,0.022727
6201,217,Undirected,42323,0.022727
6200,217,Undirected,42227,0.022727
6199,217,Undirected,42116,0.022727
6198,217,Undirected,42029,0.022727
6197,217,Undirected,41915,0.022727
5784,217,Undirected,38162,0.062465
5782,217,Undirected,38051,0.062465
5777,217,Undirected,37807,0.062465
5507,217,Undirected,35542,0.022727
5502,217,Undirected,35345,0.022727
4829,217,Undirected,29258,0.022727
2908,217,Undirected,14989,0.042335
2191,217,Undirected,10423,1.28739
1796,217,Undirected,8069,0.080943
1263,217,Undirected,5143,0.022727
1231,217,Undirected,4984,0.062727
912,217,Undirected,3092,0.022727
722,217,Undirected,2255,0.041667
581,217,Undirected,1466,0.022727
435,217,Undirected,947,0.085192
230,217,Undirected,480,0.022727
222,217,Undirected,459,2.30281
5784,222,Undirected,38173,0.037465
5782,222,Undirected,38062,0.037465
5777,222,Undirected,37818,0.037465
3678,222,Undirected,20660,0.855878
2908,222,Undirected,14999,0.019608
2191,222,Undirected,10428,1.38739
1796,222,Undirected,8076,0.080943
1231,222,Undirected,5016,0.04
722,222,Undirected,2256,0.041667
468,222,Undirected,1040,0.345671
435,222,Undirected,952,0.037465
7132,230,Undirected,54218,0.049043
6868,230,Undirected,51365,0.049043
6216,230,Undirected,42547,0.049043
6201,230,Undirected,42311,0.139952
6200,230,Undirected,42213,0.159091
6199,230,Undirected,42101,0.139952
6198,230,Undirected,42028,0.049043
6197,230,Undirected,41897,0.264952
5507,230,Undirected,35525,0.174043
5502,230,Undirected,35331,0.310407
5373,230,Undirected,34297,0.390332
5026,230,Undirected,30900,0.125
5023,230,Undirected,30821,0.076923
4829,230,Undirected,29257,0.049043
4718,230,Undirected,28339,0.125
2908,230,Undirected,15016,0.022727
1908,230,Undirected,8727,0.666667
1633,230,Undirected,7248,1.05833
1353,230,Undirected,5693,0.553239
1263,230,Undirected,5142,0.049043
1231,230,Undirected,4983,0.125966
912,230,Undirected,3091,0.125966
581,230,Undirected,1465,0.022727
435,230,Undirected,956,0.022727
231,230,Undirected,481,0.5
7132,231,Undirected,54239,0.203409
6216,231,Undirected,42506,0.571435
6201,231,Undirected,42292,0.621435
6200,231,Undirected,42205,0.394526
6199,231,Undirected,42092,0.644526
6198,231,Undirected,42005,0.276879
6197,231,Undirected,41888,0.787383
5507,231,Undirected,35514,0.394526
5502,231,Undirected,35309,0.914025
5501,231,Undirected,35243,0.539123
5373,231,Undirected,34290,0.173203
5026,231,Undirected,30890,0.34259
4718,231,Undirected,28332,0.1
1605,231,Undirected,7069,0.114379
1353,231,Undirected,5712,0.167647
1231,231,Undirected,4979,0.174621
912,231,Undirected,3087,0.174621
497,231,Undirected,1216,0.233445
5507,334,Undirected,35496,0.280054
5502,334,Undirected,35290,0.198247
5501,334,Undirected,35263,0.058824
5026,334,Undirected,30929,0.047619
4718,334,Undirected,28318,0.250534
1908,334,Undirected,8741,0.440476
1633,334,Undirected,7266,0.142857
1605,334,Undirected,7067,0.222756
1604,334,Undirected,7052,0.183366
722,334,Undirected,2246,0.25
485,334,Undirected,1138,0.342857
468,334,Undirected,1041,0.509524
7132,395,Undirected,54225,0.232955
6868,395,Undirected,51416,0.090909
6216,395,Undirected,42593,0.045455
6201,395,Undirected,42252,0.312121
6200,395,Undirected,42176,0.270455
6199,395,Undirected,42062,0.606566
6198,395,Undirected,41969,0.145455
6197,395,Undirected,41860,0.512356
5507,395,Undirected,35493,0.378788
5502,395,Undirected,35283,0.50303
5501,395,Undirected,35232,0.145455
2750,395,Undirected,13703,0.047619
2338,395,Undirected,11385,0.047619
2164,395,Undirected,10211,4.41199
1475,395,Undirected,6254,0.949874
7132,435,Undirected,54215,0.022727
6868,435,Undirected,51364,0.061189
6216,435,Undirected,42544,0.061189
6201,435,Undirected,42320,0.061189
6200,435,Undirected,42224,0.022727
6199,435,Undirected,42113,0.022727
6198,435,Undirected,42027,0.022727
6197,435,Undirected,41912,0.022727
5784,435,Undirected,38161,0.13123
5782,435,Undirected,38050,0.092768
5777,435,Undirected,37806,0.13123
5507,435,Undirected,35539,0.022727
5502,435,Undirected,35342,0.061189
4829,435,Undirected,29254,0.061189
2908,435,Undirected,14988,1.17802
