Id,Label
93,"GHISELLINI, G"
210,"FREEMAN, KC"
217,"PETERSON, BA"
222,"SUTHERLAND, W"
230,"GREINER, J"
231,"TAVANI, M"
334,"FABIAN, AC"
395,"KULKARNI, SR"
435,"NAKAMURA, T"
468,"MCMAHON, RG"
484,"DRESSLER, A"
485,"HUCHRA, JP"
497,"FRUCHTER, AS"
534,"HUCHRA, J"
581,"LEIBUNDGUT, B"
722,"ELLIS, RS"
747,"TREVES, A"
912,"KOUVELIOTOU, C"
1150,"MOULD, JR"
1231,"PARADIJS, JV"
1263,"WIJERS, RAMJ"
1353,"HURLEY, K"
1475,"DJORGOVSKI, SG"
1599,"TAKAHASHI, T"
1604,"COMASTRI, A"
1605,"MOLENDI, S"
1633,"VOGES, W"
1796,"STETSON, PB"
1908,"HASINGER, G"
2164,"FRAIL, DA"
2191,"MINNITI, D"
2338,"FILIPPENKO, AV"
2750,"DEY, A"
2883,"SUNTZEFF, NB"
2908,"NOMOTO, K"
3162,"CARTERLEWIS, DA"
3166,"FEGAN, DJ"
3169,"HILLAS, AM"
3175,"WEEKES, TC"
3678,"ROWANROBINSON, M"
4631,"MARASCHI, L"
4718,"FIORE, F"
4829,"LIDMAN, C"
5023,"CLINE, T"
5026,"PARMAR, AN"
5373,"CASTROTIRADO, AJ"
5499,"CHIAPPETTI, L"
5501,"FIUME, DD"
5502,"FRONTERA, F"
5507,"PIRO, L"
5777,"KABE, S"
5782,"MATSUBARA, Y"
5784,"MURAKI, Y"
6197,"COSTA, E"
6198,"HEISE, J"
6199,"FEROCI, M"
6200,"NICASTRO, L"
6201,"PALAZZI, E"
6216,"PIAN, E"
6221,"GRANDI, P"
6755,"CATANESE, M"
6763,"QUINN, J"
6868,"GALAMA, TJ"
7132,"MASETTI, N"
