FIPSCode,State,A3a,participated,percentage_participated
0200000000,AK,528671,323288,0.61
0100100000,AL,37055,25146,0.68
0100300000,AL,135535,96229,0.71
0100500000,AL,16279,10544,0.65
0100700000,AL,13138,8853,0.67
0100900000,AL,37009,25740,0.70
0101100000,AL,7232,4742,0.66
0101300000,AL,13045,8774,0.67
0101500000,AL,72985,48076,0.66
0101700000,AL,23012,13904,0.60
0101900000,AL,16636,10860,0.65
0102100000,AL,27820,18460,0.66
0102300000,AL,9876,7334,0.74
0102500000,AL,18840,13100,0.70
0102700000,AL,9494,6641,0.70
0102900000,AL,9981,6645,0.67
0103100000,AL,32020,21084,0.66
0103300000,AL,37420,25074,0.67
0103500000,AL,10227,6640,0.65
0103700000,AL,7837,5288,0.67
0103900000,AL,25018,16066,0.64
0104100000,AL,9763,6309,0.65
0104300000,AL,53922,38088,0.71
0104500000,AL,30601,18849,0.62
0104700000,AL,30834,18921,0.61
0104900000,AL,38773,26038,0.67
0105100000,AL,53121,37454,0.71
0105300000,AL,23589,14962,0.63
0105500000,AL,66918,44456,0.66
0105700000,AL,11979,8302,0.69
0105900000,AL,18370,12207,0.66
0106100000,AL,17498,11788,0.67
0106300000,AL,7225,4903,0.68
0106500000,AL,12175,7984,0.66
0106700000,AL,12366,8158,0.66
0106900000,AL,66494,43975,0.66
0107100000,AL,36150,21185,0.59
0107300000,AL,448884,305821,0.68
0107500000,AL,10688,7007,0.66
0107700000,AL,59683,39876,0.67
0107900000,AL,23012,14941,0.65
0108100000,AL,100549,59529,0.59
0108300000,AL,56285,40587,0.72
0108500000,AL,9905,6757,0.68
0108700000,AL,17982,9195,0.51
0108900000,AL,239387,164359,0.69
0109100000,AL,15451,11063,0.72
0109300000,AL,19784,13105,0.66
0109500000,AL,54164,35515,0.66
0109700000,AL,277810,173841,0.63
0109900000,AL,16009,10337,0.65
0110100000,AL,147449,96381,0.65
0110300000,AL,73947,50964,0.69
0110500000,AL,8150,5299,0.65
0110700000,AL,13639,9598,0.70
0110900000,AL,20141,13265,0.66
0111100000,AL,16284,10276,0.63
0111300000,AL,34267,19371,0.57
0111500000,AL,13110,38606,2.94
0111700000,AL,31017,101783,3.28
0111900000,AL,8977,6437,0.72
0112100000,AL,50109,33629,0.67
0112300000,AL,28425,19545,0.69
0112500000,AL,122466,83087,0.68
0112700000,AL,45200,29490,0.65
0112900000,AL,12407,8609,0.69
0113100000,AL,8915,6017,0.67
0113300000,AL,15322,10383,0.68
0500100000,AR,8307,6245,0.75
0500300000,AR,9810,7512,0.77
0500500000,AR,24103,19924,0.83
0500700000,AR,119077,97953,0.82
0500900000,AR,19669,16151,0.82
0501100000,AR,4462,3683,0.83
0501300000,AR,3421,-999999: Data Not Available,0.00
0501500000,AR,13111,10886,0.83
0501700000,AR,5405,4329,0.80
0501900000,AR,10866,8593,0.79
0502100000,AR,6662,5311,0.80
0502300000,AR,15076,12198,0.81
0502500000,AR,4265,3461,0.81
0502700000,AR,11680,810,0.07
0502900000,AR,9768,8026,0.82
0503100000,AR,43820,35949,0.82
0503300000,AR,27660,22612,0.82
0503500000,AR,19531,16049,0.82
0503700000,AR,8219,6990,0.85
0503900000,AR,3433,2793,0.81
0504100000,AR,5656,4276,0.76
0504300000,AR,8616,-999999: Data Not Available,0.00
0504500000,AR,59198,48488,0.82
0504700000,AR,8265,6802,0.82
0504900000,AR,6057,4835,0.80
0505100000,AR,52297,41173,0.79
0505300000,AR,10046,7395,0.74
0505500000,AR,17378,14575,0.84
0505700000,AR,8810,7116,0.81
0505900000,AR,14535,7133,0.49
0506100000,AR,5955,4722,0.79
0506300000,AR,18251,13729,0.75
0506500000,AR,6623,5526,0.83
0506700000,AR,6692,5188,0.78
0506900000,AR,34511,26009,0.75
0507100000,AR,11322,8880,0.78
0507300000,AR,3559,2882,0.81
0507500000,AR,7044,5755,0.82
0507700000,AR,3871,3127,0.81
0507900000,AR,4927,3875,0.79
0508100000,AR,6201,5277,0.85
0508300000,AR,9466,7996,0.84
0508500000,AR,38301,-999999: Data Not Available,0.00
0508700000,AR,8221,6956,0.85
0508900000,AR,8496,7186,0.85
0509100000,AR,20607,16189,0.79
0509300000,AR,16967,13321,0.79
0509500000,AR,3683,2915,0.79
0509700000,AR,4226,3609,0.85
0509900000,AR,4442,3263,0.73
0510100000,AR,5513,-999999: Data Not Available,0.00
0510300000,AR,12038,10002,0.83
0510500000,AR,5392,4320,0.80
0510700000,AR,9301,7070,0.76
0510900000,AR,4651,4025,0.87
