countyFIPS,cases,cases_per_thousand,population,pop_thousand,cases_per_pop
1001,1798,1.798,55869,55.869,3.2182
1003,5997,5.997,223234,223.234,2.6864
1005,898,0.898,24686,24.686,3.6377
1007,672,0.672,22394,22.394,3.0008
1009,1634,1.634,57826,57.826,2.8257
1011,612,0.612,10101,10.101,6.0588
1013,919,0.919,19448,19.448,4.7254
1015,3587,3.587,113605,113.605,3.1574
1017,1181,1.181,33254,33.254,3.5515
1019,624,0.624,26196,26.196,2.3820
1021,1610,1.61,44428,44.428,3.6238
1023,357,0.357,12589,12.589,2.8358
1025,1125,1.125,23622,23.622,4.7625
1027,594,0.594,13235,13.235,4.4881
1029,414,0.414,14910,14.91,2.7767
1031,1394,1.394,52342,52.342,2.6633
1033,1696,1.696,55241,55.241,3.0702
1035,538,0.538,12067,12.067,4.4584
1037,174,0.174,10663,10.663,1.6318
1039,1424,1.424,37049,37.049,3.8436
1041,543,0.543,13772,13.772,3.9428
1043,1923,1.923,83768,83.768,2.2956
1045,1421,1.421,49172,49.172,2.8899
1047,1799,1.799,37196,37.196,4.8365
1049,2481,2.481,71513,71.513,3.4693
1051,2759,2.759,81209,81.209,3.3974
1053,1623,1.623,36633,36.633,4.4304
1055,3616,3.616,102268,102.268,3.5358
1057,473,0.473,16302,16.302,2.9015
1059,1808,1.808,31362,31.362,5.7649
1061,662,0.662,26271,26.271,2.5199
1063,306,0.306,8111,8.111,3.7727
1065,656,0.656,14651,14.651,4.4775
1067,518,0.518,17205,17.205,3.0108
1069,2962,2.962,105882,105.882,2.7975
1071,1624,1.624,51626,51.626,3.1457
1073,20308,20.308,658573,658.573,3.0836
1075,386,0.386,13805,13.805,2.7961
1077,1772,1.772,92729,92.729,1.9109
1079,644,0.644,32924,32.924,1.9560
1081,6043,6.043,164542,164.542,3.6726
1083,2174,2.174,98915,98.915,2.1978
1085,659,0.659,9726,9.726,6.7757
1087,485,0.485,18068,18.068,2.6843
1089,8056,8.056,372909,372.909,2.1603
1091,732,0.732,18863,18.863,3.8806
1093,981,0.981,29709,29.709,3.3020
1095,3995,3.995,96774,96.774,4.1282
1097,13619,13.619,413210,413.21,3.2959
1099,592,0.592,20733,20.733,2.8554
1101,8918,8.918,226486,226.486,3.9376
1103,3362,3.362,119679,119.679,2.8092
1105,543,0.543,8923,8.923,6.0854
1107,674,0.674,19930,19.93,3.3818
1109,1224,1.224,33114,33.114,3.6963
1111,678,0.678,22722,22.722,2.9839
1113,1796,1.796,57961,57.961,3.0986
1115,2389,2.389,89512,89.512,2.6689
1117,6221,6.221,217702,217.702,2.8576
1119,436,0.436,12427,12.427,3.5085
1121,2192,2.192,79978,79.978,2.7408
1123,1178,1.178,40367,40.367,2.9182
1125,9040,9.04,209355,209.355,4.3180
1127,2376,2.376,63521,63.521,3.7405
1129,562,0.562,16326,16.326,3.4424
1131,534,0.534,10373,10.373,5.1480
1133,753,0.753,23629,23.629,3.1868
2013,3,0.003,3337,3.337,0.0899
2016,5,0.005,5634,5.634,0.0887
2020,4474,4.474,288000,288,1.5535
2050,115,0.115,18386,18.386,0.6255
2060,0,0,836,0.836,0.0000
2068,9,0.009,2097,2.097,0.4292
2070,9,0.009,4916,4.916,0.1831
2090,1163,1.163,96849,96.849,1.2008
2100,5,0.005,2530,2.53,0.1976
2105,24,0.024,2148,2.148,1.1173
2110,295,0.295,31974,31.974,0.9226
2122,456,0.456,58708,58.708,0.7767
2130,50,0.05,13901,13.901,0.3597
2150,26,0.026,12998,12.998,0.2000
2158,14,0.014,8314,8.314,0.1684
2164,28,0.028,1592,1.592,1.7588
2170,634,0.634,108317,108.317,0.5853
2180,79,0.079,10004,10.004,0.7897
2185,137,0.137,9832,9.832,1.3934
2188,126,0.126,7621,7.621,1.6533
2195,7,0.007,3266,3.266,0.2143
2198,31,0.031,6203,6.203,0.4998
2220,53,0.053,8493,8.493,0.6240
2230,0,0,1183,1.183,0.0000
2240,28,0.028,6893,6.893,0.4062
2261,79,0.079,9202,9.202,0.8585
2270,0,0,0,0,0.0000
2275,13,0.013,2502,2.502,0.5196
2282,0,0,579,0.579,0.0000
2290,81,0.081,5230,5.23,1.5488
4001,3569,3.569,71887,71.887,4.9647
4003,1912,1.912,125922,125.922,1.5184
4005,4198,4.198,143476,143.476,2.9259
4007,1372,1.372,54018,54.018,2.5399
4009,868,0.868,38837,38.837,2.2350
4011,59,0.059,9498,9.498,0.6212
4012,545,0.545,21108,21.108,2.5820
4013,142287,142.287,4485414,4485.414,3.1722
4015,4017,4.017,212181,212.181,1.8932
4017,5802,5.802,110924,110.924,5.2306
4019,25706,25.706,1047279,1047.279,2.4546
4021,10672,10.672,462789,462.789,2.3060
4023,2857,2.857,46498,46.498,6.1444
4025,2583,2.583,235099,235.099,1.0987
4027,12765,12.765,213787,213.787,5.9709
5001,432,0.432,17486,17.486,2.4705
5003,443,0.443,19657,19.657,2.2537
5005,383,0.383,41932,41.932,0.9134
5007,6767,6.767,279141,279.141,2.4242
5009,774,0.774,37432,37.432,2.0677
5011,344,0.344,10763,10.763,3.1961
5013,36,0.036,5189,5.189,0.6938
5015,725,0.725,28380,28.38,2.5546
5017,1009,1.009,10118,10.118,9.9723
5019,367,0.367,22320,22.32,1.6443
5021,324,0.324,14551,14.551,2.2267
5023,343,0.343,24919,24.919,1.3765
5025,187,0.187,7956,7.956,2.3504
5027,520,0.52,23457,23.457,2.2168
5029,279,0.279,20846,20.846,1.3384
5031,3124,3.124,110332,110.332,2.8315
5033,1503,1.503,63257,63.257,2.3760
5035,1983,1.983,47955,47.955,4.1351
5037,461,0.461,16419,16.419,2.8077
5039,167,0.167,7009,7.009,2.3827
5041,307,0.307,11361,11.361,2.7022
5043,359,0.359,18219,18.219,1.9705
5045,2596,2.596,126007,126.007,2.0602
5047,304,0.304,17715,17.715,1.7161
5049,186,0.186,12477,12.477,1.4907
5051,1977,1.977,99386,99.386,1.9892
5053,274,0.274,18265,18.265,1.5001
5055,928,0.928,45325,45.325,2.0474
5057,393,0.393,21532,21.532,1.8252
5059,1928,1.928,33771,33.771,5.7090
5061,493,0.493,13202,13.202,3.7343
5063,1162,1.162,37825,37.825,3.0720
5065,260,0.26,13629,13.629,1.9077
5067,380,0.38,16719,16.719,2.2729
5069,3413,3.413,66824,66.824,5.1074
5071,866,0.866,26578,26.578,3.2583
5073,118,0.118,6624,6.624,1.7814
5075,471,0.471,16406,16.406,2.8709
5077,1068,1.068,8857,8.857,12.0583
5079,2026,2.026,13024,13.024,15.5559
5081,366,0.366,12259,12.259,2.9856
5083,425,0.425,21466,21.466,1.9799
5085,1263,1.263,73309,73.309,1.7228
5087,370,0.37,16576,16.576,2.2321
5089,105,0.105,16694,16.694,0.6290
5091,867,0.867,43257,43.257,2.0043
5093,1728,1.728,40651,40.651,4.2508
5095,139,0.139,6701,6.701,2.0743
5097,160,0.16,8986,8.986,1.7805
5099,226,0.226,8252,8.252,2.7387
5101,250,0.25,7753,7.753,3.2246
5103,270,0.27,23382,23.382,1.1547
5105,90,0.09,10455,10.455,0.8608
5107,529,0.529,17782,17.782,2.9749
5109,234,0.234,10718,10.718,2.1832
5111,693,0.693,23528,23.528,2.9454
5113,272,0.272,19964,19.964,1.3625
5115,2180,2.18,64072,64.072,3.4024
5117,158,0.158,8062,8.062,1.9598
5119,9612,9.612,391911,391.911,2.4526
5121,448,0.448,17958,17.958,2.4947
5123,1547,1.547,24994,24.994,6.1895
5125,2197,2.197,122437,122.437,1.7944
5127,111,0.111,10281,10.281,1.0797
5129,151,0.151,7881,7.881,1.9160
5131,3856,3.856,127827,127.827,3.0166
5133,1208,1.208,17007,17.007,7.1030
5135,242,0.242,17442,17.442,1.3875
5137,367,0.367,12506,12.506,2.9346
5139,924,0.924,38682,38.682,2.3887
5141,178,0.178,16545,16.545,1.0759
5143,9763,9.763,239187,239.187,4.0817
5145,925,0.925,78753,78.753,1.1746
5147,57,0.057,6320,6.32,0.9019
5149,1260,1.26,21341,21.341,5.9041
6001,21458,21.458,1671329,1671.329,1.2839
6003,2,0.002,1129,1.129,0.1771
6005,259,0.259,39752,39.752,0.6515
6007,2824,2.824,219186,219.186,1.2884
6009,322,0.322,45905,45.905,0.7014
6011,538,0.538,21547,21.547,2.4969
6013,16973,16.973,1153526,1153.526,1.4714
6015,144,0.144,27812,27.812,0.5178
6017,1158,1.158,192843,192.843,0.6005
6019,28706,28.706,999101,999.101,2.8732
6021,598,0.598,28393,28.393,2.1062
6023,515,0.515,135558,135.558,0.3799
6025,11993,11.993,181215,181.215,6.6181
6027,190,0.19,18039,18.039,1.0533
6029,32184,32.184,900202,900.202,3.5752
6031,7851,7.851,152940,152.94,5.1334
6033,433,0.433,64386,64.386,0.6725
6035,742,0.742,30573,30.573,2.4270
6037,271371,271.371,10039107,10039.107,2.7031
6039,4614,4.614,157327,157.327,2.9327
6041,6729,6.729,258826,258.826,2.5998
6043,76,0.076,17203,17.203,0.4418
6045,971,0.971,86749,86.749,1.1193
6047,9019,9.019,277680,277.68,3.2480
6049,12,0.012,8841,8.841,0.1357
6051,167,0.167,14444,14.444,1.1562
6053,10181,10.181,434061,434.061,2.3455
6055,1727,1.727,137744,137.744,1.2538
6057,543,0.543,99755,99.755,0.5443
6059,53909,53.909,3175692,3175.692,1.6976
6061,3617,3.617,398329,398.329,0.9080
6063,50,0.05,18807,18.807,0.2659
6065,59488,59.488,2470546,2470.546,2.4079
6067,22755,22.755,1552058,1552.058,1.4661
6069,1310,1.31,62808,62.808,2.0857
6071,55394,55.394,2180085,2180.085,2.5409
6073,47485,47.485,3338330,3338.33,1.4224
6075,11332,11.332,881549,881.549,1.2855
6077,20457,20.457,762148,762.148,2.6841
6079,3649,3.649,283111,283.111,1.2889
6081,10069,10.069,766573,766.573,1.3135
6083,9223,9.223,446499,446.499,2.0656
6085,21457,21.457,1927852,1927.852,1.1130
6087,2427,2.427,273213,273.213,0.8883
6089,927,0.927,180080,180.08,0.5148
6091,6,0.006,3005,3.005,0.1997
6093,166,0.166,43539,43.539,0.3813
6095,6475,6.475,447643,447.643,1.4465
6097,7578,7.578,494336,494.336,1.5330
6099,16573,16.573,550660,550.66,3.0097
