1,countyFIPS,County_Name,State,num_cases,population,cases_per_pop
1,1001,Autauga County,AL,1798,55869,0.0322
1,1003,Baldwin County,AL,5997,223234,0.0269
1,1005,Barbour County,AL,898,24686,0.0364
1,1007,Bibb County,AL,672,22394,0.0300
1,1009,Blount County,AL,1634,57826,0.0283
1,1011,Bullock County,AL,612,10101,0.0606
1,1013,Butler County,AL,919,19448,0.0473
1,1015,Calhoun County,AL,3587,113605,0.0316
1,1017,Chambers County,AL,1181,33254,0.0355
1,1019,Cherokee County,AL,624,26196,0.0238
1,1021,Chilton County,AL,1610,44428,0.0362
1,1023,Choctaw County,AL,357,12589,0.0284
1,1025,Clarke County,AL,1125,23622,0.0476
1,1027,Clay County,AL,594,13235,0.0449
1,1029,Cleburne County,AL,414,14910,0.0278
1,1031,Coffee County,AL,1394,52342,0.0266
1,1033,Colbert County,AL,1696,55241,0.0307
1,1035,Conecuh County,AL,538,12067,0.0446
1,1037,Coosa County,AL,174,10663,0.0163
1,1039,Covington County,AL,1424,37049,0.0384
1,1041,Crenshaw County,AL,543,13772,0.0394
1,1043,Cullman County,AL,1923,83768,0.0230
1,1045,Dale County,AL,1421,49172,0.0289
1,1047,Dallas County,AL,1799,37196,0.0484
1,1049,DeKalb County,AL,2481,71513,0.0347
1,1051,Elmore County,AL,2759,81209,0.0340
1,1053,Escambia County,AL,1623,36633,0.0443
1,1055,Etowah County,AL,3616,102268,0.0354
1,1057,Fayette County,AL,473,16302,0.0290
1,1059,Franklin County,AL,1808,31362,0.0576
1,1061,Geneva County,AL,662,26271,0.0252
1,1063,Greene County,AL,306,8111,0.0377
1,1065,Hale County,AL,656,14651,0.0448
1,1067,Henry County,AL,518,17205,0.0301
1,1069,Houston County,AL,2962,105882,0.0280
1,1071,Jackson County,AL,1624,51626,0.0315
1,1073,Jefferson County,AL,20308,658573,0.0308
1,1075,Lamar County,AL,386,13805,0.0280
1,1077,Lauderdale County,AL,1772,92729,0.0191
1,1079,Lawrence County,AL,644,32924,0.0196
1,1081,Lee County,AL,6043,164542,0.0367
1,1083,Limestone County,AL,2174,98915,0.0220
1,1085,Lowndes County,AL,659,9726,0.0678
