countyFIPS,County Name,State,cases,cases_per_thousand,population,pop_per_thousand,population_log,cases_per_pop
5079,Lincoln County,AR,2026,2.026,13024,13.024,4.11474438754513,15.5559
13053,Chattahoochee County,GA,1678,1.678,10907,10.907,4.03770531313554,15.3846
47169,Trousdale County,TN,1676,1.676,11284,11.284,4.05246307748333,14.8529
12067,Lafayette County,FL,1233,1.233,8422,8.422,3.92541523708425,14.6402
47095,Lake County,TN,928,0.928,7016,7.016,3.84608958035798,13.2269
5077,Lee County,AR,1068,1.068,8857,8.857,3.9472866446778,12.0583
31043,Dakota County,NE,2250,2.25,20026,20.026,4.30159421182936,11.2354
19021,Buena Vista County,IA,2028,2.028,19620,19.62,4.29269900304393,10.3364
5017,Chicot County,AR,1009,1.009,10118,10.118,4.00509467507255,9.9723
27105,Nobles County,MN,1985,1.985,21629,21.629,4.33503644063551,9.1775
22037,East Feliciana Parish,LA,1745,1.745,19135,19.135,4.28182846656052,9.1194
47181,Wayne County,TN,1509,1.509,16673,16.673,4.22201375017136,9.0506
20057,Ford County,KS,2902,2.902,33619,33.619,4.52658479116946,8.6320
22065,Madison Parish,LA,886,0.886,10951,10.951,4.03945377896174,8.0906
20175,Seward County,KS,1731,1.731,21428,21.428,4.33098163770082,8.0782
28055,Issaquena County,MS,106,0.106,1327,1.327,3.12287092286444,7.9879
22035,East Carroll Parish,LA,548,0.548,6861,6.861,3.83638741932641,7.9872
40139,Texas County,OK,1576,1.576,19983,19.983,4.30066068837652,7.8867
13259,Stewart County,GA,521,0.521,6621,6.621,3.82092358788132,7.8689
31037,Colfax County,NE,795,0.795,10709,10.709,4.02974891856684,7.4237
30087,Rosebud County,MT,652,0.652,8937,8.937,3.95119175793471,7.2955
46017,Buffalo County,SD,142,0.142,1962,1.962,3.29269900304393,7.2375
5133,Sevier County,AR,1208,1.208,17007,17.007,4.23062771171063,7.1030
30003,Big Horn County,MT,940,0.94,13319,13.319,4.12447161891949,7.0576
51081,Greensville County,VA,795,0.795,11336,11.336,4.0544598372394,7.0131
1085,Lowndes County,AL,659,0.659,9726,9.726,3.98793426523216,6.7757
19047,Crawford County,IA,1117,1.117,16820,16.82,4.22582599146189,6.6409
6025,Imperial County,CA,11993,11.993,181215,181.215,5.25819414338278,6.6181
51640,Galax city,VA,419,0.419,6347,6.347,3.80256849831396,6.6015
22003,Allen Parish,LA,1678,1.678,25627,25.627,4.40869776889579,6.5478
28051,Holmes County,MS,1104,1.104,17010,17.01,4.23070431361257,6.4903
12045,Gulf County,FL,879,0.879,13639,13.639,4.13478252938186,6.4448
12125,Union County,FL,980,0.98,15237,15.237,4.18289946754826,6.4317
47069,Hardeman County,TN,1598,1.598,25050,25.05,4.39880773020326,6.3792
48323,Maverick County,TX,3712,3.712,58722,58.722,4.7688008387025,6.3213
12086,Miami-Dade County,FL,170882,170.882,2716940,2716.94,6.43408004770879,6.2895
12039,Gadsden County,FL,2840,2.84,45660,45.66,4.65953590715422,6.2199
12123,Taylor County,FL,1338,1.338,21569,21.569,4.33383001044565,6.2033
12077,Liberty County,FL,518,0.518,8354,8.354,3.9218944709291,6.2006
5123,St. Francis County,AR,1547,1.547,24994,24.994,4.3978357654867,6.1895
