County,Population
Yellowstone County,"161,300"
Missoula County,"119,600"
Gallatin County,"114,434"
Flathead County,"103,806"
Cascade County,"81,366"
Lewis and Clark County,"69,432"
Ravalli County,"43,806"
Silver Bow County,"34,915"
Lake County,"30,458"
Lincoln County,"19,980"
Park County,"16,606"
Hill County,"16,484"
Glacier County,"13,753"
Big Horn County,"13,319"
Jefferson County,"12,221"
Sanders County,"12,113"
Custer County,"11,402"
Fergus County,"11,050"
Roosevelt County,"11,004"
Richland County,"10,803"
Carbon County,"10,725"
Stillwater County,"9,642"
Beaverhead County,"9,453"
Deer Lodge County,"9,140"
Rosebud County,"8,937"
Dawson County,"8,613"
Madison County,"8,600"
Valley County,"7,396"
Powell County,"6,890"
Blaine County,"6,681"
Broadwater County,"6,237"
Teton County,"6,147"
Pondera County,"5,911"
Chouteau County,"5,635"
Toole County,"4,736"
Musselshell County,"4,633"
Mineral County,"4,397"
Phillips County,"3,954"
Sweet Grass County,"3,737"
Granite County,"3,379"
Sheridan County,"3,309"
Fallon County,"2,846"
Liberty County,"2,337"
Wheatland County,"2,126"
Judith Basin County,"2,007"
Meagher County,"1,862"
Daniels County,"1,690"
Powder River County,"1,682"
McCone County,"1,664"
Garfield County,"1,258"
Carter County,"1,252"
Prairie County,"1,077"
Wibaux County,969
Golden Valley County,821
Treasure County,696
Petroleum County,487
