time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-30T22:00:10.704Z,43.9087,-111.0947,7.51,3.1,ml,,83,0.275,0.32,us,us70006spn,2020-03-14T22:23:02.040Z,"20km N of Driggs, Idaho",earthquake,1,4.5,0.059,38,reviewed,us,us
2019-12-23T23:42:20.570Z,44.5855,-110.6041667,4.26,2.72,ml,29,69,0.0342,0.22,uu,uu60355402,2020-06-19T17:40:40.570Z,"22km NE of Old Faithful Geyser, Wyoming",earthquake,0.36,0.69,0.123,6,reviewed,uu,uu
2019-12-15T12:32:52.150Z,44.3985,-111.1401667,16.98,3.46,ml,40,123,0.2092,0.17,uu,uu60353847,2020-06-19T17:40:38.460Z,"25km WSW of Old Faithful Geyser, Wyoming",earthquake,0.42,0.97,0.19,14,reviewed,uu,uu
2019-12-15T02:09:29.610Z,44.5881667,-110.6015,3.95,3.44,ml,33,43,0.03436,0.23,uu,uu60353767,2020-06-19T17:40:36.490Z,"26km NE of Old Faithful Geyser, Wyoming",earthquake,0.35,0.67,0.303,8,reviewed,uu,uu
2019-11-24T07:55:28.190Z,44.8416667,-110.6868333,5.82,2.8,ml,31,75,0.1158,0.22,uu,uu60351372,2020-06-19T17:40:34.660Z,"38km ENE of West Yellowstone, Montana",earthquake,0.42,1.04,0.257,7,reviewed,uu,uu
2019-11-10T01:28:33.193Z,44.8104,-111.4088,10,3,ml,,34,0.025,0.36,us,us600069ux,2020-02-01T23:22:14.040Z,"29km NW of West Yellowstone, Montana",earthquake,1.8,1.9,0.052,48,reviewed,us,us
2019-10-27T19:13:29.370Z,44.7645,-110.8005,6.14,2.51,ml,20,73,0.04285,0.16,uu,uu60347302,2020-06-19T17:40:32.940Z,"26km ENE of West Yellowstone, Montana",earthquake,0.33,0.85,0.154,7,reviewed,uu,uu
2019-10-26T15:57:39.380Z,44.763,-110.7961667,4.77,2.59,ml,19,71,0.04625,0.14,uu,uu60346952,2020-06-19T17:40:31.300Z,"26km ENE of West Yellowstone, Montana",earthquake,0.24,0.43,0.199,7,reviewed,uu,uu
2019-10-16T17:08:30.740Z,44.7938333,-110.4901667,8.29,2.93,ml,36,71,0.07766,0.17,uu,uu60345572,2020-06-19T17:40:29.370Z,"45km NE of Old Faithful Geyser, Wyoming",earthquake,0.34,0.75,0.262,5,reviewed,uu,uu
2019-10-10T23:38:57.410Z,44.3196667,-110.8341667,5.02,2.54,ml,19,87,0.05312,0.13,uu,uu60345032,2020-06-19T17:40:27.690Z,"15km S of Old Faithful Geyser, Wyoming",earthquake,0.32,1.41,0.302,5,reviewed,uu,uu
2019-09-14T12:13:49.012Z,42.584,-111.4333,5,3.1,ml,,66,0.305,0.49,us,us70005gc6,2019-12-05T18:31:05.040Z,"16km ESE of Soda Springs, Idaho",earthquake,2,1,0.045,65,reviewed,us,us
2019-09-13T17:34:55.658Z,42.5174,-111.1548,4.05,3.3,ml,,50,0.251,0.58,us,us70005fzb,2019-12-05T18:31:03.040Z,"24km NNE of Montpelier, Idaho",earthquake,0.7,5.9,0.039,88,reviewed,us,us
2019-08-29T22:24:12.580Z,44.3296667,-110.5333333,2.04,2.71,ml,18,130,0.06049,0.23,uu,uu60338117,2020-06-19T17:40:26.030Z,"27km ESE of Old Faithful Geyser, Wyoming",earthquake,0.55,1.77,0.173,9,reviewed,uu,uu
