time,latitude,longitude,depth,mag,magType
2019-12-23T23:42:20.570Z,44.5855,-110.6041667,4.26,2.72,ml
2019-12-15T12:32:52.150Z,44.3985,-111.1401667,16.98,3.46,ml
2019-12-15T02:09:29.610Z,44.5881667,-110.6015,3.95,3.44,ml
2019-11-24T07:55:28.190Z,44.8416667,-110.6868333,5.82,2.8,ml
2019-10-27T19:13:29.370Z,44.7645,-110.8005,6.14,2.51,ml
2019-10-26T15:57:39.380Z,44.763,-110.7961667,4.77,2.59,ml
2019-10-16T17:08:30.740Z,44.7938333,-110.4901667,8.29,2.93,ml
2019-10-10T23:38:57.410Z,44.3196667,-110.8341667,5.02,2.54,ml
2019-08-29T22:24:12.580Z,44.3296667,-110.5333333,2.04,2.71,ml
2019-08-29T21:33:01.630Z,44.3323333,-110.5255,1.44,2.61,ml
2019-08-15T19:46:39.640Z,44.1276667,-110.3788333,7.39,3.51,ml
2019-07-23T06:40:29.440Z,44.5768333,-110.7571667,7.94,2.89,ml
2019-04-29T05:18:28.740Z,44.2948333,-110.6116667,2.99,2.59,ml
2019-03-13T13:13:30.320Z,44.5675,-110.7358333,7.86,2.83,ml
2019-03-04T17:16:43.810Z,44.6931667,-110.0821667,6.01,3.32,ml
2019-02-16T21:22:50.830Z,44.465,-111.0071667,8.19,3.09,ml
2019-01-23T10:05:57.520Z,44.2986667,-110.6803333,9.42,2.98,ml
2019-01-06T05:39:45.730Z,44.792,-110.2375,6.45,2.75,md
2019-01-06T05:39:31.650Z,44.7566667,-110.2405,6.87,2.6,md
2019-01-06T05:39:06.730Z,44.741,-110.25,2.08,2.58,md
2019-01-06T05:38:42.460Z,44.7526667,-110.2343333,8.79,2.78,ml
2018-12-31T10:21:22.880Z,44.5685,-110.4931667,2.52,2.75,ml
2018-12-31T10:21:08.830Z,44.573,-110.4863333,4.89,2.6,md
2018-12-31T07:25:45.310Z,44.5718333,-110.5008333,4.79,2.7,ml
2018-10-21T21:07:06.940Z,44.3471667,-110.305,10.06,2.7,ml
2018-10-13T13:52:54.800Z,44.7476667,-111.0383333,6.82,2.62,ml
2018-10-04T08:47:10.890Z,44.7535,-110.9843333,9.78,2.69,ml
2018-09-11T13:30:53.520Z,44.8608333,-110.4288333,10.65,2.85,ml
2018-08-07T10:19:57.430Z,44.6833333,-110.0418333,14.72,2.51,md
2018-07-05T01:09:30.890Z,44.3715,-110.4275,11.11,2.5,ml
2018-05-25T08:04:21.770Z,44.7615,-111.1271667,9.89,2.59,ml
2018-05-06T14:54:02.890Z,44.7516667,-110.9641667,10.75,3.05,ml
2018-04-07T09:40:44.050Z,44.7583333,-111.1176667,10.18,2.68,ml
2018-04-05T13:22:31.020Z,44.7585,-111.1235,11.27,2.52,ml
2018-02-25T15:10:21.400Z,44.7535,-110.9953333,6.3,3.04,ml
2018-02-23T05:24:50.740Z,44.749,-110.9938333,9.48,2.73,ml
2018-02-22T22:26:42.570Z,44.7481667,-110.9931667,9.3,2.62,ml
2018-02-22T21:17:22.890Z,44.7505,-110.9951667,10.22,2.65,ml
2018-02-22T08:49:07.830Z,44.7508333,-110.9935,10.03,2.61,ml
2018-02-21T00:38:16.530Z,44.734,-111.0111667,9.08,2.68,ml
2018-02-20T18:45:15.600Z,44.735,-111.008,8.46,2.54,ml
2018-02-19T02:12:59.160Z,44.7401667,-110.9985,7.71,2.52,ml
2018-02-18T17:43:06.530Z,44.7426667,-110.9826667,7.76,2.82,ml
2018-02-18T17:34:17.760Z,44.7501667,-110.9815,10.15,2.76,ml
2018-02-18T15:46:31.780Z,44.7401667,-110.9931667,6.42,2.51,ml
2018-02-18T15:29:16.260Z,44.7446667,-110.9973333,9.83,3.12,ml
2018-02-18T15:23:53.880Z,44.744,-110.9933333,9.92,2.66,ml
2018-02-18T15:17:17.100Z,44.7446667,-110.9926667,10.31,2.93,ml
2018-02-18T14:17:07.210Z,44.7415,-110.9895,10.12,2.7,ml
2018-02-18T13:49:55.090Z,44.7455,-110.9848333,9.85,2.91,ml
2018-02-18T09:16:46.780Z,44.7383333,-110.9853333,7.18,2.6,ml
2018-02-18T06:10:15.300Z,44.7381667,-110.9878333,6,2.69,ml
2018-02-18T05:55:30.780Z,44.7315,-110.9783333,6.28,2.6,ml
2018-02-18T05:53:02.480Z,44.7443333,-110.9946667,9.97,2.89,md
2018-02-18T05:37:46.530Z,44.746,-110.9903333,9.89,3.11,md
2018-02-18T05:32:53.480Z,44.7343333,-110.9841667,6.56,2.54,ml
2018-02-18T05:30:59.010Z,44.7406667,-110.9856667,7.05,2.57,ml
2018-02-18T04:47:55.510Z,44.7403333,-110.9815,5.87,2.6,ml
2018-02-18T04:28:28.670Z,44.7426667,-110.9865,9.15,2.73,ml
2018-02-17T17:48:40.010Z,44.7433333,-111.0001667,9.05,2.66,ml
2018-02-15T18:41:06.020Z,44.7378333,-111.007,8.44,2.58,ml
2017-09-26T06:31:10.180Z,44.8206667,-110.6513333,6.96,2.87,ml
2017-09-17T05:38:44.050Z,44.3023333,-110.8416667,7.53,3.15,ml
2017-08-27T20:34:42.050Z,44.7856667,-111.0145,12.95,2.8,ml
2017-08-27T19:47:53.560Z,44.7896667,-111.0108333,11.24,2.83,ml
2017-08-22T05:44:16.540Z,44.3288333,-110.3251667,7.72,2.52,ml
2017-08-21T03:00:48.960Z,44.8103333,-111.0883333,9.42,3.27,ml
2017-08-20T19:23:27.800Z,44.808,-111.0851667,9.83,2.61,ml
2017-08-15T02:03:00.360Z,44.788,-111.048,8.63,3.02,ml
2017-08-14T14:04:56.690Z,44.5766667,-110.7643333,5.97,2.69,ml
2017-08-10T14:41:33.190Z,44.7851667,-111.05,9,2.99,ml
2017-08-07T14:08:09.740Z,44.7938333,-111.0511667,7.85,2.64,ml
2017-08-06T21:51:09.260Z,44.7931667,-111.0546667,7.8,2.53,ml
2017-08-05T18:04:36.510Z,44.7938333,-111.0538333,8.06,2.78,ml
2017-08-05T17:36:00.670Z,44.7881667,-111.0188333,10.49,2.69,ml
2017-08-05T16:57:50.920Z,44.7925,-111.0715,8.46,2.69,ml
2017-08-05T15:55:07.330Z,44.7855,-111.0125,10.49,2.59,ml
2017-08-05T14:59:57.480Z,44.797,-111.0091667,13.07,2.78,ml
2017-08-05T11:53:34.620Z,44.796,-111.0728333,8.27,2.61,ml
2017-08-05T11:17:11.840Z,44.7973333,-111.0706667,8.48,3.26,ml
2017-08-03T18:38:52.330Z,44.8016667,-111.071,8.14,2.75,ml
2017-08-03T09:57:08.410Z,44.7883333,-111.0283333,10.85,2.9,ml
2017-08-03T03:15:54.720Z,44.7915,-111.022,10.84,2.64,ml
2017-08-03T03:02:07.820Z,44.7895,-111.0181667,10.87,2.55,ml
2017-08-03T00:18:17.330Z,44.8043333,-111.0661667,7.78,2.84,ml
2017-08-01T15:15:43.660Z,44.8033333,-111.0736667,7.51,2.8,ml
2017-08-01T13:16:12.730Z,44.8021667,-111.0778333,7.35,3.12,ml
2017-07-26T04:58:08.240Z,44.2385,-110.7891667,3.44,2.56,ml
2017-07-26T04:57:10.040Z,44.2373333,-110.7853333,2.97,2.65,ml
2017-07-18T20:52:45.190Z,44.7935,-111.035,9.93,2.88,ml
2017-07-18T20:51:34.520Z,44.7791667,-111.0226667,7.74,2.56,ml
2017-07-18T20:40:24.960Z,44.7915,-111.04,10.22,2.83,ml
2017-07-18T20:31:10.470Z,44.7875,-111.0378333,10.51,3.61,ml
2017-07-17T14:05:06.930Z,44.7561667,-111.0048333,5.32,2.5,md
2017-07-16T17:28:51.930Z,44.7611667,-111.0118333,7,2.76,ml
2017-07-16T17:21:06.600Z,44.7628333,-111.0103333,7.85,3.35,ml
2017-07-16T16:30:38.100Z,44.7628333,-111.0121667,7.75,2.93,ml
2017-07-12T02:44:31.690Z,44.7888333,-111.0275,9.52,2.53,ml
2017-07-09T06:57:28.800Z,44.8015,-111.0065,7.56,2.53,ml
2017-07-09T03:04:35.840Z,44.7863333,-111.0061667,5.18,2.77,ml
2017-07-08T21:30:02.810Z,44.7968333,-111.0008333,7.3,2.75,ml
2017-07-06T03:33:55.910Z,44.7815,-111.0245,8.38,2.51,ml
2017-06-26T22:35:10.950Z,44.8036667,-111.0208333,7.38,2.71,ml
2017-06-24T14:36:31.900Z,44.7865,-111.0186667,10.22,2.56,ml
2017-06-24T07:03:25.370Z,44.7816667,-111.0208333,9.55,2.56,ml
2017-06-21T22:16:27.530Z,44.7868333,-111.043,9.32,2.92,ml
2017-06-21T17:31:16.510Z,44.7826667,-111.0155,9.62,2.69,ml
2017-06-19T03:12:10.930Z,44.7856667,-111.0246667,10.49,2.97,ml
2017-06-18T11:23:44.510Z,44.7968333,-111.0391667,11.32,2.63,ml
2017-06-18T07:21:19.230Z,44.8081667,-111.0153333,7.42,2.71,ml
