date,magnitude
2019-12-23,2.72
2019-12-15,3.46
2019-12-15,3.44
2019-11-24,2.8
2019-10-27,2.51
2019-10-26,2.59
2019-10-16,2.93
2019-10-10,2.54
2019-08-29,2.71
2019-08-29,2.61
2019-08-15,3.51
2019-07-23,2.89
2019-04-29,2.59
2019-03-13,2.83
2019-03-04,3.32
2019-02-16,3.09
2019-01-23,2.98
2019-01-06,2.75
2019-01-06,2.6
2019-01-06,2.58
2019-01-06,2.78
2018-12-31,2.75
2018-12-31,2.6
2018-12-31,2.7
2018-10-21,2.7
2018-10-13,2.62
2018-10-04,2.69
2018-09-11,2.85
2018-08-07,2.51
2018-07-05,2.5
2018-05-25,2.59
2018-05-06,3.05
2018-04-07,2.68
2018-04-05,2.52
2018-02-25,3.04
2018-02-23,2.73
2018-02-22,2.62
2018-02-22,2.65
2018-02-22,2.61
2018-02-21,2.68
2018-02-20,2.54
2018-02-19,2.52
2018-02-18,2.82
2018-02-18,2.76
2018-02-18,2.51
2018-02-18,3.12
2018-02-18,2.66
2018-02-18,2.93
2018-02-18,2.7
2018-02-18,2.91
2018-02-18,2.6
2018-02-18,2.69
2018-02-18,2.6
2018-02-18,2.89
2018-02-18,3.11
2018-02-18,2.54
2018-02-18,2.57
2018-02-18,2.6
2018-02-18,2.73
2018-02-17,2.66
2018-02-15,2.58
2017-09-26,2.87
2017-09-17,3.15
2017-08-27,2.8
2017-08-27,2.83
2017-08-22,2.52
2017-08-21,3.27
2017-08-20,2.61
2017-08-15,3.02
2017-08-14,2.69
2017-08-10,2.99
2017-08-07,2.64
2017-08-06,2.53
2017-08-05,2.78
2017-08-05,2.69
2017-08-05,2.69
2017-08-05,2.59
2017-08-05,2.78
2017-08-05,2.61
2017-08-05,3.26
2017-08-03,2.75
2017-08-03,2.9
2017-08-03,2.64
2017-08-03,2.55
2017-08-03,2.84
2017-08-01,2.8
2017-08-01,3.12
2017-07-26,2.56
2017-07-26,2.65
2017-07-18,2.88
2017-07-18,2.56
2017-07-18,2.83
2017-07-18,3.61
2017-07-17,2.5
2017-07-16,2.76
2017-07-16,3.35
2017-07-16,2.93
2017-07-12,2.53
2017-07-09,2.53
2017-07-09,2.77
2017-07-08,2.75
2017-07-06,2.51
2017-06-26,2.71
2017-06-24,2.56
2017-06-24,2.56
2017-06-21,2.92
2017-06-21,2.69
2017-06-19,2.97
2017-06-18,2.63
2017-06-18,2.71
2017-06-18,2.83
2017-06-17,2.53
2017-06-16,3.01
2017-06-16,2.56
2017-06-16,2.72
2017-06-16,2.78
2017-06-16,2.94
2017-06-16,3.09
2017-06-16,2.74
2017-06-16,2.73
2017-06-16,4.36
2017-06-14,2.58
2017-06-14,2.92
2017-06-13,2.71
2017-06-13,2.72
2017-06-12,3.22
2017-06-12,2.89
2017-06-12,2.71
2017-06-12,3.13
2017-06-12,2.86
2017-06-02,2.56
2017-05-07,2.91
2017-05-06,2.62
2017-03-30,2.85
2017-03-05,2.55
2017-03-02,2.6
2017-01-23,2.91
2017-01-20,3.32
2017-01-07,3.35
2016-11-26,2.89
2016-11-25,2.89
2016-11-25,2.55
2016-11-25,2.55
2016-11-21,2.58
2016-11-15,2.51
2016-09-27,2.52
2016-09-25,2.58
2016-09-25,2.79
2016-09-20,2.58
2016-06-30,2.94
2016-05-27,2.52
2016-01-31,2.53
2015-11-24,2.76
2015-11-17,2.67
2015-06-21,2.55
2015-05-18,3.04
2014-10-29,2.71
2014-09-24,3.22
2014-07-06,2.5
2014-07-06,2.5
2014-06-04,3.4
2014-06-04,2.5
2014-06-04,3.5
2014-06-03,3.1
2014-06-03,2.9
2014-06-03,3.4
2014-05-31,3.5
2014-05-31,2.8
2014-05-31,2.6
2014-04-09,2.67
2014-04-06,2.84
2014-04-03,2.52
2014-04-01,3.13
2014-03-30,2.86
2014-03-30,2.69
2014-03-30,3.66
2014-03-30,3.36
2014-03-30,2.61
2014-03-30,2.93
2014-03-30,3.55
2014-03-30,2.64
2014-03-30,2.65
2014-03-30,4.83
2014-03-30,2.5
2014-03-30,3.36
2014-03-30,2.97
2014-03-26,3.53
2014-03-26,3
2014-03-01,2.88
2014-02-18,2.85
2014-02-15,3
2014-02-13,2.74
2014-02-11,3.47
2014-02-03,2.68
2014-01-12,3.37
2014-01-06,3.45
2014-01-06,2.6
2013-11-25,2.99
2013-11-24,3.13
2013-11-23,2.95
2013-11-23,3.36
2013-11-23,2.74
2013-11-23,2.54
2013-11-23,2.94
2013-11-23,2.5
2013-10-30,2.85
2013-10-05,2.82
2013-09-24,3.17
2013-09-23,2.66
2013-09-15,2.57
2013-09-15,3.6
2013-09-15,2.7
2013-09-15,2.66
2013-09-15,3.24
2013-09-15,3.43
2013-09-13,2.85
2013-09-13,3.7
2013-09-13,3.48
2013-09-13,2.85
2013-09-13,2.57
2013-09-11,2.69
2013-09-10,3.09
2013-09-10,3.31
2013-09-09,2.72
2013-09-01,2.71
2013-08-03,2.87
2013-07-02,2.87
2013-07-01,2.65
2013-07-01,3.08
2013-06-30,2.51
2013-06-30,2.71
2013-05-07,2.5
2013-05-07,2.99
2013-05-06,2.83
2013-05-03,2.86
2013-04-16,2.94
2013-04-09,3.05
2013-03-31,3.27
2012-12-15,2.62
2012-12-13,2.5
2012-10-28,2.6
2012-10-28,2.67
2012-10-20,2.5
2012-10-15,3.1
2012-10-15,2.76
2012-10-15,2.61
2012-10-15,3.12
2012-10-15,2.62
2012-10-15,2.51
2012-10-15,2.51
2012-10-15,3.16
2012-10-15,2.6
2012-10-15,2.52
2012-09-24,2.53
2012-09-05,3.51
2012-08-07,3.19
2012-07-14,2.57
2012-07-04,2.84
2012-06-18,2.69
2012-01-17,2.52
2011-12-08,2.52
2011-11-22,3.06
2011-05-19,2.57
2011-05-08,3.13
2010-10-27,2.53
2010-06-26,2.84
2010-04-06,2.87
2010-04-05,3.01
2010-04-05,2.82
2010-04-04,3.29
2010-03-30,2.72
2010-02-03,2.55
2010-02-03,2.9
2010-02-03,3.12
2010-02-02,2.5
2010-02-01,2.78
2010-02-01,2.87
2010-02-01,2.59
2010-01-31,2.96
2010-01-31,2.86
2010-01-28,2.79
2010-01-28,3.22
2010-01-27,3.03
2010-01-27,2.89
2010-01-27,2.65
2010-01-27,2.78
2010-01-27,3.11
2010-01-27,2.55
2010-01-25,2.62
2010-01-25,2.87
2010-01-25,2.78
2010-01-25,3.04
2010-01-25,3.04
2010-01-25,3.19
2010-01-24,2.58
2010-01-24,2.54
2010-01-24,2.9
2010-01-23,2.99
2010-01-22,2.51
2010-01-22,3.3
2010-01-22,2.87
2010-01-21,3
2010-01-21,2.59
2010-01-21,2.76
2010-01-21,3.87
2010-01-21,3.74
2010-01-21,2.64
2010-01-20,2.89
2010-01-20,2.57
2010-01-20,2.51
2010-01-20,2.53
2010-01-20,3.42
2010-01-20,2.58
2010-01-20,3.22
2010-01-19,3.63
2010-01-19,3.27
2010-01-19,2.56
2010-01-19,2.59
2010-01-19,3.07
2010-01-19,3.38
2010-01-18,2.76
2010-01-18,2.79
2010-01-18,3.09
2010-01-18,2.62
2010-01-18,2.54
2010-01-18,2.53
2010-01-18,2.66
2010-01-18,2.51
2010-01-18,2.73
2010-01-17,2.52
2010-01-17,2.54
2010-01-17,2.64
2009-11-09,3.12
2009-10-15,2.53
2009-10-15,2.54
2009-07-08,2.73
2009-06-30,3.28
2009-05-25,2.57
2009-05-25,2.7
2009-05-25,2.96
2009-05-25,2.69
2009-05-25,2.95
2009-05-25,2.7
2009-04-29,2.69
2009-04-29,2.7
2009-01-27,2.81
2009-01-14,2.5
2009-01-09,3.3
2009-01-03,2.53
2009-01-02,2.58
2009-01-02,3.07
2009-01-02,2.5
2009-01-02,3.04
2009-01-02,2.75
2009-01-02,3.46
2009-01-02,2.77
2009-01-02,3
2009-01-02,3.08
2009-01-01,3.06
2009-01-01,2.6
2009-01-01,2.88
2009-01-01,2.78
2009-01-01,2.61
2009-01-01,2.89
2009-01-01,2.89
2009-01-01,2.53
2008-12-31,3.2
2008-12-31,2.66
2008-12-31,2.58
2008-12-31,3.58
2008-12-31,2.5
2008-12-31,2.98
2008-12-31,2.82
2008-12-30,2.79
2008-12-30,2.8
2008-12-30,2.78
2008-12-29,2.92
2008-12-29,2.93
2008-12-29,2.54
2008-12-29,3.25
2008-12-29,2.62
2008-12-29,2.86
2008-12-28,2.61
2008-12-28,3.04
2008-12-28,3.01
2008-12-28,2.77
2008-12-28,3.23
2008-12-28,2.69
2008-12-28,2.51
2008-12-28,2.75
2008-12-28,3.86
2008-12-28,2.65
2008-12-28,2.72
2008-12-27,3.33
2008-12-27,2.51
2008-12-27,3.15
2008-12-27,3.41
2008-12-27,2.96
2008-12-27,2.72
2008-12-27,2.64
2008-12-03,2.57
2008-11-23,2.59
2008-11-23,2.7
2008-09-25,2.89
2008-09-25,2.54
2008-09-25,2.61
2008-07-31,2.56
2008-06-30,2.5
2008-06-05,2.72
2008-03-25,4.18
2008-03-12,2.55
2008-03-12,2.5
2008-03-11,2.55
2008-01-10,2.59
2008-01-09,3.73
2008-01-09,2.81
