time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-29T10:00:47.780Z,44.68,-111.0145,10.57,0.33,md,10,144,0.03709,0.14,uu,uu60355717,2019-12-30T17:55:28.720Z,"7km ENE of West Yellowstone, Montana",earthquake,0.5,0.74,0.173,7,reviewed,uu,uu
2019-12-29T08:00:38.380Z,44.7503333,-111.0851667,10.46,0.84,ml,14,95,0.04829,0.12,uu,uu60355712,2019-12-30T15:37:06.610Z,"9km N of West Yellowstone, Montana",earthquake,0.49,0.76,0.325,2,reviewed,uu,uu
2019-12-28T21:02:41.900Z,44.2916667,-110.4955,8.16,0.32,md,11,134,0.03612,0.1,uu,uu60355697,2019-12-30T14:55:53.310Z,"32km SE of Old Faithful Geyser, Wyoming",earthquake,0.48,1.05,0.542,5,reviewed,uu,uu
2019-12-28T18:41:07.550Z,44.6608333,-110.4495,6.39,1.65,ml,15,119,0.06818,0.17,uu,uu60355687,2019-12-30T14:47:03.440Z,"37km NE of Old Faithful Geyser, Wyoming",earthquake,0.63,1.29,0.248,3,reviewed,uu,uu
2019-12-28T16:05:03.690Z,44.6748333,-111.0275,8.54,0.25,md,7,135,0.04502,0.16,uu,uu60019579,2019-12-30T16:37:12.360Z,"6km ENE of West Yellowstone, Montana",earthquake,0.64,1.01,0.343,4,reviewed,uu,uu
2019-12-28T15:20:25.980Z,44.676,-111.0116667,10.44,0.48,md,13,87,0.03409,0.15,uu,uu60355667,2019-12-30T14:40:50.150Z,"7km ENE of West Yellowstone, Montana",earthquake,0.41,0.77,0.445,9,reviewed,uu,uu
2019-12-28T15:12:29.130Z,44.6761667,-111.005,9.46,0.58,md,10,148,0.02951,0.13,uu,uu60019559,2019-12-30T14:38:13.070Z,"8km ENE of West Yellowstone, Montana",earthquake,0.54,0.73,0.177,5,reviewed,uu,uu
2019-12-28T15:12:14.900Z,44.6726667,-111.0203333,10.49,1.39,ml,14,141,0.03968,0.16,uu,uu60019554,2019-12-30T14:33:32.590Z,"6km E of West Yellowstone, Montana",earthquake,0.8,0.99,0.182,3,reviewed,uu,uu
2019-12-28T15:07:21.870Z,44.6708333,-111.0241667,8.76,0.81,md,7,174,0.04227,0.11,uu,uu60355657,2019-12-30T16:23:06.900Z,"6km E of West Yellowstone, Montana",earthquake,0.73,0.9,0.397,5,reviewed,uu,uu
2019-12-28T15:06:56.180Z,44.6763333,-111.0111667,9.49,0.74,md,6,167,0.03382,0.13,uu,uu60019569,2019-12-30T16:25:13.140Z,"7km ENE of West Yellowstone, Montana",earthquake,1.09,1.23,0.314,4,reviewed,uu,uu
2019-12-26T19:46:06.550Z,44.7671667,-110.9255,6.17,0.33,md,8,165,0.05745,0.14,uu,uu60355587,2019-12-27T21:29:03.660Z,"18km NE of West Yellowstone, Montana",earthquake,0.56,1.6,0.295,5,reviewed,uu,uu
2019-12-26T16:21:26.670Z,44.6588333,-110.4743333,4.04,1.61,ml,9,108,0.06001,0.18,uu,uu60355572,2019-12-27T21:24:54.010Z,"35km NE of Old Faithful Geyser, Wyoming",earthquake,0.38,1.68,0.409,3,reviewed,uu,uu
2019-12-26T16:19:31.280Z,44.6631667,-110.4691667,4.96,2.21,ml,21,68,0.058,0.15,uu,uu60355567,2020-03-17T19:57:12.770Z,"36km NE of Old Faithful Geyser, Wyoming",earthquake,0.33,0.57,0.168,5,reviewed,uu,uu
2019-12-26T01:47:23.970Z,44.6621667,-110.4703333,5.38,1.97,ml,22,69,0.05843,0.17,uu,uu60355532,2019-12-27T16:16:38.430Z,"36km NE of Old Faithful Geyser, Wyoming",earthquake,0.33,1.05,0.21,5,reviewed,uu,uu
2019-12-26T01:34:09.380Z,44.6635,-110.4655,5.15,1.72,ml,17,94,0.05913,0.14,uu,uu60355527,2019-12-27T16:22:21.420Z,"36km NE of Old Faithful Geyser, Wyoming",earthquake,0.43,1.34,0.356,3,reviewed,uu,uu
2019-12-26T01:23:29.480Z,44.6593333,-110.4703333,4.72,1.74,ml,16,110,0.06089,0.14,uu,uu60355522,2019-12-27T16:26:30.310Z,"36km NE of Old Faithful Geyser, Wyoming",earthquake,0.3,0.64,0.444,3,reviewed,uu,uu
2019-12-25T08:51:02.800Z,44.3481667,-110.6565,5.37,1.66,ml,13,103,0.07429,0.12,uu,uu60355482,2019-12-27T16:32:15.150Z,"18km SE of Old Faithful Geyser, Wyoming",earthquake,0.54,1.58,0.253,2,reviewed,uu,uu
2019-12-25T08:47:14.400Z,44.3508333,-110.6585,4.27,2.11,ml,18,101,0.07377,0.12,uu,uu60355477,2019-12-27T16:36:25.760Z,"18km SE of Old Faithful Geyser, Wyoming",earthquake,0.34,0.51,0.164,5,reviewed,uu,uu
2019-12-25T08:30:41.700Z,44.3468333,-110.6548333,3.35,0.61,md,11,103,0.07422,0.15,uu,uu60355472,2019-12-27T16:39:02.010Z,"18km SE of Old Faithful Geyser, Wyoming",earthquake,0.45,0.94,0.439,8,reviewed,uu,uu
2019-12-25T08:25:53.370Z,44.3541667,-110.6603333,3.41,0.79,md,10,99,0.07291,0.13,uu,uu60019544,2019-12-27T16:42:43.890Z,"17km SE of Old Faithful Geyser, Wyoming",earthquake,0.43,1.28,0.521,6,reviewed,uu,uu
2019-12-25T08:25:28.510Z,44.3488333,-110.6556667,4.11,0.7,md,9,102,0.0734,0.1,uu,uu60355467,2019-12-27T16:41:08.340Z,"18km SE of Old Faithful Geyser, Wyoming",earthquake,0.62,0.83,0.268,5,reviewed,uu,uu
2019-12-25T00:05:02.370Z,44.6286667,-110.732,6.96,0.2,md,6,154,0.0676,0.05,uu,uu60355452,2019-12-27T20:58:23.140Z,"20km NNE of Old Faithful Geyser, Wyoming",earthquake,1.03,1.66,0.205,4,reviewed,uu,uu
2019-12-23T23:42:20.570Z,44.5855,-110.6041667,4.26,2.72,ml,29,69,0.0342,0.22,uu,uu60355402,2020-06-19T17:40:40.570Z,"22km NE of Old Faithful Geyser, Wyoming",earthquake,0.36,0.69,0.123,6,reviewed,uu,uu
2019-12-23T21:26:41.100Z,44.76,-110.92,4.93,0.32,md,6,150,0.05703,0.14,uu,uu60355372,2019-12-27T19:11:15.780Z,"18km NE of West Yellowstone, Montana",earthquake,0.47,1.06,0.336,4,reviewed,uu,uu
2019-12-23T04:48:30.890Z,44.7233333,-111.0693333,10.85,0.88,ml,15,73,0.05764,0.11,uu,uu60355292,2019-12-23T16:59:11.020Z,"7km NNE of West Yellowstone, Montana",earthquake,0.39,0.81,0.275,2,reviewed,uu,uu
2019-12-22T18:39:37.660Z,44.7695,-110.9251667,6.78,0.56,md,12,111,0.05641,0.14,uu,uu60355267,2019-12-23T17:21:21.030Z,"18km NE of West Yellowstone, Montana",earthquake,0.41,0.87,0.296,8,reviewed,uu,uu
2019-12-22T15:38:57.470Z,44.7568333,-110.9153333,4.9,0.23,md,6,142,0.0559,0.11,uu,uu60355237,2019-12-23T18:56:13.340Z,"18km NE of West Yellowstone, Montana",earthquake,0.55,0.79,0.105,5,reviewed,uu,uu
2019-12-22T15:38:57.170Z,44.77,-110.922,7.18,0.16,md,8,136,0.05412,0.13,uu,uu60355232,2019-12-23T17:23:26.470Z,"18km NE of West Yellowstone, Montana",earthquake,0.57,1.08,0.13,4,reviewed,uu,uu
2019-12-22T15:31:56.550Z,44.4576667,-110.9035,5.29,1.01,md,14,158,0.04887,0.19,uu,uu60355227,2019-12-23T14:28:25.100Z,"5km W of Old Faithful Geyser, Wyoming",earthquake,0.83,1.41,0.295,9,reviewed,uu,uu
2019-12-22T08:16:45.090Z,44.7695,-110.92,7.37,0.55,md,10,135,0.05296,0.14,uu,uu60355197,2019-12-23T17:28:37.930Z,"18km NE of West Yellowstone, Montana",earthquake,0.65,1.18,0.186,6,reviewed,uu,uu
2019-12-19T20:04:10.750Z,44.7925,-111.101,10.62,0.11,md,9,135,0.005367,0.13,uu,uu60355032,2019-12-19T20:43:21.900Z,"14km N of West Yellowstone, Montana",earthquake,0.64,1.15,0.098,5,reviewed,uu,uu
2019-12-16T18:31:14.630Z,44.8135,-110.9495,5.13,0.76,md,12,138,0.06754,0.21,uu,uu60354387,2019-12-16T18:45:08.320Z,"20km NE of West Yellowstone, Montana",earthquake,0.66,1.37,0.167,8,reviewed,uu,uu
2019-12-16T16:45:02.280Z,44.7445,-110.7828333,2.08,0.31,md,9,101,0.06515,0.12,uu,uu60354322,2019-12-16T17:22:26.870Z,"27km ENE of West Yellowstone, Montana",earthquake,0.37,5.76,0.087,5,reviewed,uu,uu
