Year,Cascade,Flathead,Gallatin,Missoula,Yellowstone
2003-01-01,500,508,511,540,566
2004-01-01,520,525,526,550,589
2005-01-01,539,546,556,570,617
2006-01-01,568,577,594,589,647
2007-01-01,596,603,625,620,687
2008-01-01,615,618,638,643,702
2009-01-01,630,619,639,651,712
2010-01-01,654,634,656,652,730
2011-01-01,669,651,678,665,757
2012-01-01,675,672,723,681,785
2013-01-01,669,689,702,689,805
2014-01-01,704,718,724,711,833
2015-01-01,728,740,761,740,861
2016-01-01,749,755,788,759,867
2017-01-01,777,786,819,786,890
2018-01-01,800,799,850,814,923
