Series ID,Gallatin,Missoula,Yellowstone
2001-01-01,456,481,522
2001—04-01,463,500,535
2001-07-01,459,498,517
2001-10-01,507,533,572
2002-01-01,467,494,529
2002-04-01,474,522,549
2002-07-01,474,524,532
2002-10-01,524,554,585
2003-01-01,492,514,533
2003-04-01,501,532,572
2003-07-01,503,539,550
2003-10-01,548,574,608
2004-01-01,503,527,568
2004-04-01,513,545,580
2004-07-01,514,541,572
2004-10-01,571,588,637
2005-01-01,524,532,595
2005-04-01,533,566,606
2005-07-01,547,587,619
2005-10-01,616,592,649
2006-01-01,555,578,637
2006-04-01,596,568,623
2006-07-01,574,588,637
2006-10-01,650,623,690
2007-01-01,602,594,672
2007-04-01,608,608,676
2007-07-01,605,620,672
2007-10-01,686,656,729
2008-01-01,617,620,695
2008-04-01,628,630,688
2008-07-01,619,640,689
2008-10-01,689,680,738
2009-01-01,619,628,698
2009-04-01,632,636,690
2009-07-01,620,651,691
2009-10-01,687,689,768
2010-01-01,631,624,688
2010-04-01,656,636,714
2010-07-01,626,644,712
2010-10-01,711,704,803
2011-01-01,651,626,721
2011-04-01,676,660,734
2011-07-01,659,682,770
2011-10-01,724,690,803
2012-01-01,795,659,769
2012-04-01,684,668,766
2012-07-01,679,672,756
2012-10-01,740,722,846
2013-01-01,682,669,784
2013-04-01,689,680,803
2013-07-01,686,692,776
2013-10-01,749,715,856
2014-01-01,701,693,823
2014-04-01,711,691,802
2014-07-01,707,711,807
2014-10-01,776,749,900
2015-01-01,730,716,835
2015-04-01,739,714,840
2015-07-01,739,739,845
2015-10-01,833,790,922
2016-01-01,754,709,824
2016-04-01,767,741,847
2016-07-01,783,786,878
2016-10-01,847,800,918
2017-01-01,793,771,898
2017-04-01,805,772,874
2017-07-01,797,783,865
2017-10-01,881,819,924
2018-01-01,818,786,912
2018-04-01,827,796,901
2018-07-01,824,803,888
2018-10-01,927,869,991
